	title	trackCount	privacy	id
29	xr 70sMusic	941.0		PLWptjpDqazOwvRUMSFs8Dd7X9AkXVvp7Y
30	xr 60sMusic	779.0	PUBLIC	PLWptjpDqazOzTAvihnt0PZpLX-bj0JJh2
270	xr 50sMusic radio	101.0		PLWptjpDqazOyfS8v9Aq1GUrzFYV6xhx2y
31	xr 50sMusic	616.0		PLWptjpDqazOwCLs4ZOeyb_Lg4IgAGlg2L
147	xr 2020smusic radio	191.0		PLWptjpDqazOwUp6grtZJrXrg_Y-LwGRs3
271	xr 2010smusic radio	1076.0	PRIVATE	PLWptjpDqazOyLXmxy61jJERk2H5bfWkdv
32	xr 2010smusic	267.0		PLWptjpDqazOwWltLPE8IThgPJeElLQIUO
207	xr 2000smusic radio	934.0		PLWptjpDqazOy-vbmwKAZrMVmFBUnXuZ8Y
33	xr 2000smusic	256.0		PLWptjpDqazOy7RFKfBT_FQeVxqUU8AVN1
400	triphop bristol sound	77.0		PLWptjpDqazOxFCrdUIkdsOH19h6GJioGk
403	trip hop radio	760.0	PRIVATE	PLWptjpDqazOyrCxoA4GO8IzRmRLWMCm4x
390	trip hop & Ambien® radio	987.0		PLWptjpDqazOwalP7RzT3zRfQL1yIU_GEa
68	trip hop & Ambien®	235.0		PLWptjpDqazOywHU6xE8u41--r5GkvmvdK
137	trip hop	406.0	PUBLIC	PLWptjpDqazOxzC2520-Dwn3Ug-r5UpaGp
409	synth trip	43.0		PLWptjpDqazOzFxQuReOv1EhlNkxRKFsd8
86	summertime covers	36.0		PLWptjpDqazOw2I1AmrJOaKKjve04pICim
495	soul rock covers	25.0		PLWptjpDqazOzPFIhKPyQS5QbQe-2V0EuJ
499	soul rnb dj	42.0		PLWptjpDqazOz1L95Q338qxVcNCM6Dnjgj
221	soul radio	238.0		PLWptjpDqazOzWv9RIv1238xiMPdN9Giz9
235	soul motown	141.0		PLWptjpDqazOztLHiiEFUZuJGmeGxAlVlc
406	soul kings and queens radio	351.0		PLWptjpDqazOycU2NdKn8zBiTR7E8QC__O
66	soul kings and queens	43.0		PLWptjpDqazOyLjRDrAygkHDbbBxEO0_ew
300	soul instrumental grooves	92.0		PLWptjpDqazOwVu6re8zhaCFAdKlTLhcKl
64	soul funk	1219.0	PUBLIC	PLWptjpDqazOxI6u2h08x7JtFhAC8KUuBC
63	soul 1960s	163.0		PLWptjpDqazOzyQA-5Ty50KZHkChQ_iGpk
280	slow core	47.0		PLWptjpDqazOzT4GC0OJ6uJ03K433NGOx7
347	rockabilly	81.0		PLWptjpDqazOxew11zNKfaCFVBcr2OY4N_
363	rock underground	23.0		PLWptjpDqazOzu_F9IzuCPla6ZyC6uv-8H
485	rock surf modern	56.0		PLWptjpDqazOxclqB8kE8Nwlh82vx56ohv
440	rock surf japanese takeshi teraichi	41.0		PLWptjpDqazOx5Jwy0m6WfMHrQzio59YYB
125	rock surf	99.0		PLWptjpDqazOyWQKNxtahzBz6wpovaPU9S
426	rock stoner sludge dank radio	379.0		PLWptjpDqazOxzYEYviUM8GBTgh7JMHZ7H
192	rock stoner sludge dank	70.0		PLWptjpDqazOxWXSCwg4cJyEy3HmM_0kSa
458	rock proto metal radio	97.0		PLWptjpDqazOx99tB39Em8FK7y8z6unu-w
434	rock proto metal	29.0		PLWptjpDqazOwWjZCjuR5jlwrJYwVPY_7S
91	rock pop 66-69 radio	168.0		PLWptjpDqazOwA3CMbfckmqaxWoSUrdlRs
18	rock pop 66-69	237.0		PLWptjpDqazOzEQFgINDFrZfmEXzpRLWQx
483	rock modern chill	671.0	PUBLIC	PLWptjpDqazOx_oQp1XIOyfRq0FRRppsOV
133	rock krautrock	259.0		PLWptjpDqazOzX3Vl0sTRvYdRhwWKo2L4Z
425	rock instrumentals classic vintage	110.0	PUBLIC	PLWptjpDqazOyPuQnGYzu1UXjsSquNdbYF
153	rock garage radio	425.0		PLWptjpDqazOybslH_nByH3Ty3jzgryk-2
154	rock garage	516.0		PLWptjpDqazOzpaPg4RVIlY-jia-yBQBdI
90	rock classic radio	323.0		PLWptjpDqazOxf9JS-rMkqEJWgSnEneI-W
19	rock classic	1513.0	PUBLIC	PLWptjpDqazOz7LNhVuP_kJlPQl39zA_Qk
475	rock blues	85.0		PLWptjpDqazOxrF2Hf6yGlX8mowiTI7aKg
474	rock Motorik	48.0		PLWptjpDqazOw0l9puQrP4Jwlrys0kuOLN
489	rock Deep Cut Kick Back	56.0	PUBLIC	PLWptjpDqazOzkGZCHuOvugw5ho0MUqRn4
85	rock 60s and 70s stoner	259.0		PLWptjpDqazOwq4ETVoZkMeq0owl8T9Qpa
470	rock 2000s	124.0		PLWptjpDqazOzSIopK_elB7BmRaQshiV73
171	rock 1990s radio	168.0		PLWptjpDqazOxu8HBeUhS-YMVf9vOSkyLD
223	rock 1990s alternative	252.0		PLWptjpDqazOwvTpznKWvdkLBZ7XXG8k32
222	rock 1990s	525.0		PLWptjpDqazOwyzCVDRfCBZLDWxuVBzYaw
487	rock 1980s college on air	55.0		PLWptjpDqazOxOpEXzDjnu7FQ2-6vde6dG
453	rock 1970s pop singer songwriters	64.0		PLWptjpDqazOx53Wz0K5iQL7TKPzaag10R
79	rock 1970s classic	1080.0	PUBLIC	PLWptjpDqazOzUfaj7nFStEH0GtT1Bd5_Q
461	rock 1969 Woodstock	38.0		PLWptjpDqazOw5ClOt8OCwB1aF7ClVeo60
